08426;Biberach, Landkreis;9;10;6;11;16;6
08435;Bodenseekreis;23;11;10;21;10;8
08436;Ravensburg, Landkreis;21;15;15;12;25;14
08437;Sigmaringen, Landkreis;1;1;5;7;4;3
09161;Ingolstadt (Krfr.St);74;69;57;75;89;67
09162;M�nchen, Landeshauptstadt;417;408;466;423;455;514
09163;Rosenheim (Krfr.St);22;21;15;18;20;28
09171;Alt�tting (Lkr);34;36;49;44;30;32
09172;Berchtesgadener Land (Lkr);24;23;23;37;26;35
09173;Bad T�lz-Wolfratshausen (Lkr);16;27;37;23;27;24
09174;Dachau (Lkr);17;21;21;25;29;22
09175;Ebersberg (Lkr);17;28;25;24;33;27
09176;Eichst�tt (Lkr);60;57;60;46;46;54
09177;Erding (Lkr);32;17;33;23;37;31
09178;Freising (Lkr);57;52;59;50;66;87
09179;F�rstenfeldbruck (Lkr);31;25;21;29;37;37
09180;Garmisch-Partenkirchen (Lkr);21;23;27;31;24;21
09181;Landsberg am Lech (Lkr);17;19;13;22;21;16
09182;Miesbach (Lkr);25;18;23;22;19;14
09183;M�hldorf a.Inn (Lkr);19;21;29;29;27;25
09184;M�nchen (Lkr);61;66;73;55;74;69
09185;Neuburg-Schrobenhausen (Lkr);39;32;21;25;25;36
09186;Pfaffenhofen a.d.Ilm (Lkr);39;30;49;43;51;54
09187;Rosenheim (Lkr);64;50;67;62;61;76
09188;Starnberg (Lkr);23;20;20;19;23;31
09189;Traunstein (Lkr);55;46;48;74;49;49
09190;Weilheim-Schongau (Lkr);27;20;38;26;20;30
09261;Landshut (Krfr.St);70;62;86;60;83;82
09262;Passau (Krfr.St);51;63;41;56;36;64
09263;Straubing (Krfr.St);89;98;115;105;127;127
09271;Deggendorf (Lkr);89;110;106;109;107;114
09272;Freyung-Grafenau (Lkr);42;39;47;42;35;48
09273;Kelheim (Lkr);460;452;465;465;479;512
09274;Landshut (Lkr);83;82;85;80;92;126
09275;Passau (Lkr);84;98;81;86;83;88
09276;Regen (Lkr);48;51;56;57;48;62
09277;Rottal-Inn (Lkr);62;51;51;44;55;61
09278;Straubing-Bogen (Lkr);113;90;122;121;145;148
09279;Dingolfing-Landau (Lkr);40;55;45;61;47;68
09361;Amberg (Krfr.St);90;80;103;86;109;116
09362;Regensburg (Krfr.St);-;-;-;-;-;-
09363;Weiden i.d.OPf. (Krfr.St);56;67;105;64;97;78
09371;Amberg-Sulzbach (Lkr);97;99;106;97;102;107
09372;Cham (Lkr);225;233;222;229;246;273
09373;Neumarkt i.d.OPf. (Lkr);169;174;252;197;162;198
